"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6160","httpPushDataTransfer()","","Thu May 29 15:29:20 GMT 2025","passed","Thu May 29 15:29:26 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest","httpPushDataTransfer"
"","55","Policy is accepted Dismantler Cred (activity type)","","Thu May 29 15:27:36 GMT 2025","passed","Thu May 29 15:27:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","1498","Contract policy is NOT fulfilled Dismantler allowedBrands (IS_NONE_OF, but is one contains)","","Thu May 29 15:29:50 GMT 2025","passed","Thu May 29 15:29:51 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","1","verifyCorrectParticipantAgentId(ParticipantAgentService)","","Thu May 29 15:30:35 GMT 2025","passed","Thu May 29 15:30:35 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractorTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractorTest","verifyCorrectParticipantAgentId"
"","5374","When multiple requests to refresh, to different edrs, verify all return non expired token","","Thu May 29 15:27:18 GMT 2025","passed","Thu May 29 15:27:23 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_subsequentRequestReturn"
"","2735","Contract policy is fulfilled Dismantler allowedBrands (IS_ANY_OF, one intersects)","","Thu May 29 15:30:12 GMT 2025","passed","Thu May 29 15:30:15 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","2081","Contract policy is NOT fulfilled Dismantler allowedBrands (IN, but not subset)","","Thu May 29 15:29:51 GMT 2025","passed","Thu May 29 15:29:53 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","2936","Contract policy is fulfilled DataExchangeGovernance use case","","Thu May 29 15:31:36 GMT 2025","passed","Thu May 29 15:31:39 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","3050","Contract policy is fulfilled Dismantler allowedBrands (IS_NONE_OF, no intersect)","","Thu May 29 15:31:51 GMT 2025","passed","Thu May 29 15:31:54 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","2040","transferMultipleFiles()","","Thu May 29 15:30:09 GMT 2025","passed","Thu May 29 15:30:11 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferMultipleFiles"
